customer_id,age,gender,income,occupation,city,tenure_years,avg_balance,monthly_deposits,monthly_withdrawals,digital_txn_ratio,card_limit,utilization_ratio,delinquency_12m,loan_type,monthly_emi,overdue_flag,mf_investment,fd_amount,insurance_policy,shopping_spend,travel_spend,utility_spend,wallet_spend,total_spend_6m,has_credit_card,has_loan,has_investments
16,64,Female,500000,Salaried,Barkerhaven,15,66415.0,13,14,0.41,300000.0,0.68,0.0,Home,28539.0,0.0,81501.0,100000.0,0.0,50374,35592,16529,24581,127076,1,1,1
17,55,Female,1200000,Student,Brandonborough,4,107735.75,8,13,0.51,0.0,0.0,0.0,0,0.0,0.0,179147.0,200000.0,1.0,43925,26401,19733,22565,112624,0,0,1
18,60,Female,800000,Salaried,East Heatherberg,6,6045.44,12,7,0.7,0.0,0.0,0.0,0,0.0,0.0,173153.0,100000.0,0.0,46971,30509,23510,20826,121816,0,0,1
19,62,Female,500000,Salaried,Jessicafort,18,31030.7,9,13,0.78,0.0,0.0,0.0,0,0.0,0.0,54360.0,200000.0,0.0,34566,30141,9717,28872,103296,0,0,1
20,46,Female,500000,Salaried,Lake Jessica,10,2000.0,14,1,0.44,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,45596,36185,13887,23371,119039,0,0,0
21,56,Female,500000,Student,Michaelfort,16,122153.05,14,3,0.55,0.0,0.0,0.0,Personal,18866.0,0.0,199378.0,50000.0,0.0,44313,38186,20435,28666,131600,0,1,1
22,35,Male,200000,Salaried,Haleyside,8,160560.21,10,2,0.71,200000.0,0.71,0.0,Personal,20138.0,0.0,0.0,0.0,0.0,49613,42670,15743,27492,135518,1,1,0
23,41,Male,350000,Self-Employed,Woodville,18,134216.77,8,7,0.59,0.0,0.0,0.0,Personal,36138.0,0.0,0.0,0.0,0.0,37605,29238,12557,29324,108724,0,1,0
24,44,Female,350000,Salaried,East Dennis,13,2000.0,3,14,0.94,50000.0,0.44,1.0,0,0.0,0.0,0.0,0.0,0.0,59295,36833,22080,17791,135999,1,0,0
25,61,Male,350000,Salaried,Ruiztown,13,83818.94,3,1,0.54,300000.0,0.76,0.0,0,0.0,0.0,13591.0,100000.0,0.0,51496,27099,15324,16157,110076,1,0,1
26,21,Female,200000,Student,East Melissa,9,57693.26,3,9,0.2,200000.0,0.65,0.0,Home,24155.0,0.0,0.0,0.0,0.0,47261,38119,14890,32646,132916,1,1,0
27,44,Female,350000,Student,Port Emily,8,33618.22,8,5,0.99,0.0,0.0,0.0,Personal,35121.0,0.0,0.0,0.0,0.0,36925,33032,23151,24746,117854,0,1,0
28,44,Male,200000,Student,West Harrychester,19,27756.33,13,15,0.29,0.0,0.0,0.0,Home,37388.0,0.0,0.0,0.0,0.0,63640,27965,13666,22824,128095,0,1,0
29,37,Female,800000,Self-Employed,North Michelle,3,98964.09,14,18,0.41,0.0,0.0,0.0,Personal,34027.0,0.0,0.0,0.0,0.0,40129,36223,11314,15472,103138,0,1,0
30,53,Female,500000,Salaried,Port Katiefurt,10,46039.13,3,7,0.25,0.0,0.0,0.0,Auto,24480.0,0.0,34238.0,0.0,1.0,49113,24432,17720,29097,120362,0,1,1
31,59,Male,800000,Self-Employed,Jasonberg,7,70487.74,8,5,0.67,0.0,0.0,0.0,Personal,34129.0,0.0,0.0,0.0,0.0,60236,35485,14306,25702,135729,0,1,0
32,29,Male,500000,Retired,Patriciaville,2,24918.86,2,1,0.72,50000.0,0.31,0.0,0,0.0,0.0,0.0,0.0,0.0,42856,36331,16899,27001,123087,1,0,0
33,53,Female,200000,Student,Gillfort,5,91462.17,2,17,0.63,0.0,0.0,0.0,Personal,36386.0,0.0,260495.0,0.0,0.0,58982,32357,14956,22822,129117,0,1,1
34,55,Male,500000,Student,South Edwinhaven,3,42418.08,7,10,0.65,200000.0,0.93,0.0,Personal,15188.0,0.0,0.0,0.0,0.0,42998,33992,17569,28803,123362,1,1,0
35,21,Male,350000,Self-Employed,Spencerburgh,15,64393.85,4,16,0.36,300000.0,0.13,0.0,Personal,29954.0,0.0,0.0,0.0,0.0,32269,43475,15207,20852,111803,1,1,0
36,34,Male,800000,Student,Christopherborough,5,2000.0,2,4,0.23,0.0,0.0,0.0,Auto,31547.0,0.0,34479.0,200000.0,1.0,48869,41177,18046,20349,128441,0,1,1
37,46,Female,350000,Student,Jonesport,14,204704.85,3,5,0.92,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,47389,46752,14680,32139,140960,0,0,0
38,59,Male,200000,Self-Employed,Danielburgh,15,101744.69,1,14,0.53,100000.0,0.3,0.0,Home,7132.0,0.0,0.0,0.0,0.0,33959,28914,10356,22474,95703,1,1,0
39,35,Female,200000,Self-Employed,North Deborahport,13,127189.41,11,2,0.74,200000.0,0.57,0.0,0,0.0,0.0,0.0,0.0,0.0,56989,24680,18429,20981,121079,1,0,0
40,52,Female,500000,Retired,Brianburgh,4,25949.69,13,19,0.89,100000.0,0.18,0.0,0,0.0,0.0,0.0,0.0,0.0,51286,27919,21033,22324,122562,1,0,0
41,50,Female,200000,Self-Employed,Jonathanburgh,7,99245.59,7,15,0.87,0.0,0.0,0.0,Personal,38702.0,0.0,257632.0,50000.0,1.0,63060,44330,20967,22524,150881,0,1,1
42,35,Female,800000,Self-Employed,West Sherri,4,29609.73,3,11,0.31,300000.0,0.67,0.0,0,0.0,0.0,0.0,0.0,0.0,55357,37449,19945,23546,136297,1,0,0
43,33,Male,200000,Student,Lake Jacobmouth,19,2000.0,8,9,0.91,200000.0,0.45,0.0,Personal,21724.0,0.0,0.0,0.0,0.0,52818,43912,13854,27781,138365,1,1,0
44,42,Female,1200000,Retired,Robertfort,10,168462.2,7,16,0.21,100000.0,0.76,0.0,0,0.0,0.0,0.0,0.0,0.0,35995,39047,16312,24092,115446,1,0,0
45,26,Female,500000,Self-Employed,Hoffmanmouth,12,2000.0,12,12,0.35,100000.0,0.9,0.0,0,0.0,0.0,0.0,0.0,0.0,39489,45088,14804,30310,129691,1,0,0
46,64,Male,500000,Retired,Harttown,11,166380.14,2,4,0.49,200000.0,0.84,0.0,0,0.0,0.0,223596.0,200000.0,0.0,43388,29662,12940,11461,97451,1,0,1
47,48,Male,350000,Salaried,Port Monica,1,85294.15,14,18,0.55,100000.0,0.67,0.0,Personal,24718.0,0.0,176962.0,0.0,1.0,38615,36419,19554,26397,120985,1,1,1
48,21,Male,350000,Self-Employed,South Mary,13,138434.31,6,4,0.51,200000.0,0.8,0.0,Auto,22560.0,0.0,23997.0,100000.0,0.0,51029,37313,10995,23539,122876,1,1,1
49,61,Male,350000,Retired,Mullenland,6,171699.73,10,17,0.61,100000.0,0.88,0.0,Auto,32579.0,0.0,34686.0,100000.0,1.0,42384,44054,17634,31618,135690,1,1,1
50,28,Male,500000,Retired,Marshton,5,48769.21,3,13,0.86,200000.0,0.91,0.0,0,0.0,0.0,28091.0,100000.0,1.0,39940,26441,17215,24834,108430,1,0,1
51,53,Female,200000,Retired,Joshuatown,12,51406.91,5,16,0.66,0.0,0.0,0.0,0,0.0,0.0,278005.0,0.0,1.0,31447,38071,13387,29171,112076,0,0,1
52,44,Female,1200000,Salaried,North Joshuafurt,9,2000.0,1,9,0.42,200000.0,0.5,0.0,Personal,8655.0,0.0,132494.0,100000.0,1.0,56607,30764,18738,25340,131449,1,1,1
53,32,Male,350000,Student,Kellyhaven,2,92448.37,3,7,0.76,0.0,0.0,0.0,0,0.0,0.0,295959.0,0.0,1.0,47564,33033,14541,23637,118775,0,0,1
54,23,Female,350000,Salaried,Jamesmouth,17,54550.28,9,12,0.41,0.0,0.0,0.0,Personal,9798.0,0.0,236198.0,0.0,1.0,41338,51573,15707,18101,126719,0,1,1
55,37,Female,350000,Retired,Sierrastad,2,91580.49,3,19,0.42,0.0,0.0,0.0,Personal,32309.0,0.0,121184.0,0.0,1.0,45920,37370,15987,17401,116678,0,1,1
56,22,Male,500000,Retired,Pattersonshire,5,137876.11,13,12,0.24,200000.0,0.19,0.0,0,0.0,0.0,0.0,0.0,0.0,52832,31959,16826,16921,118538,1,0,0
57,52,Male,1200000,Student,East Craigstad,19,13022.08,7,15,0.84,200000.0,0.49,0.0,0,0.0,0.0,0.0,0.0,0.0,36747,42708,18796,21992,120243,1,0,0
58,22,Male,500000,Salaried,Hannaberg,6,18586.86,8,6,0.79,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,54254,36137,19192,25552,135135,0,0,0
59,52,Female,500000,Self-Employed,Carrollland,11,189819.99,1,9,0.74,200000.0,0.27,0.0,0,0.0,0.0,0.0,0.0,0.0,48170,20512,17016,18582,104280,1,0,0
60,37,Male,800000,Student,Newmanburgh,5,38579.42,7,13,0.29,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,53744,23915,12540,34098,124297,0,0,0
61,54,Male,500000,Salaried,North Stevenland,11,186021.47,12,19,0.45,200000.0,0.62,0.0,Personal,26241.0,0.0,0.0,0.0,0.0,33514,46139,18019,28555,126227,1,1,0
62,36,Female,800000,Retired,Houstonchester,6,16145.32,3,1,0.28,0.0,0.0,0.0,Home,21628.0,0.0,0.0,0.0,0.0,60163,38365,20623,32100,151251,0,1,0
63,36,Male,200000,Salaried,North Dawnville,4,33848.03,4,14,0.78,300000.0,0.35,0.0,0,0.0,0.0,97298.0,200000.0,1.0,54712,46898,12921,19465,133996,1,0,1
64,39,Female,800000,Student,Kimberlyville,19,94649.75,7,13,0.98,0.0,0.0,0.0,Home,7887.0,0.0,0.0,0.0,0.0,39101,40303,16627,24565,120596,0,1,0
65,40,Male,500000,Salaried,North Claytontown,9,76241.77,3,13,0.67,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,47577,36355,19478,24698,128108,0,0,0
66,53,Male,350000,Salaried,Dawnmouth,7,48325.26,6,15,0.58,0.0,0.0,0.0,Home,6988.0,0.0,267416.0,200000.0,0.0,45312,41066,11955,17347,115680,0,1,1
67,38,Male,800000,Retired,East Bryanstad,11,163385.85,9,9,0.33,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,74412,29801,15267,27043,146523,0,0,0
68,48,Male,800000,Self-Employed,North Shaunberg,18,2000.0,1,12,0.98,0.0,0.0,0.0,Personal,21422.0,0.0,98251.0,0.0,1.0,43591,17802,18764,22142,102299,0,1,1
69,43,Male,500000,Retired,East Ronaldville,10,6367.83,3,7,0.26,300000.0,0.45,1.0,0,0.0,0.0,0.0,0.0,0.0,41823,36283,21997,24506,124609,1,0,0
70,55,Male,350000,Student,West Carl,16,158038.71,8,6,0.92,200000.0,0.27,0.0,Auto,7761.0,0.0,233730.0,50000.0,1.0,32418,49623,14134,18284,114459,1,1,1
71,46,Female,1800000,Self-Employed,Kentshire,17,202100.55,12,7,0.32,0.0,0.0,0.0,Personal,37155.0,0.0,52478.0,50000.0,1.0,60245,28199,18278,30532,137254,0,1,1
72,22,Male,1800000,Student,West Jeremy,12,101492.4,10,7,0.67,100000.0,0.93,0.0,0,0.0,0.0,43341.0,200000.0,0.0,54046,29402,14234,15277,112959,1,0,1
73,25,Female,1200000,Student,East Gabrielle,9,118644.62,5,19,0.41,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,66426,30660,15342,16593,129021,0,0,0
74,61,Female,350000,Retired,South Derrickland,16,89233.47,3,11,0.93,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,23265,39878,21720,25426,110289,0,0,0
75,36,Male,1200000,Self-Employed,Matthewsburgh,1,16147.39,9,10,0.42,300000.0,0.21,0.0,Auto,34748.0,0.0,0.0,0.0,0.0,47117,36581,17290,29812,130800,1,1,0
76,44,Male,1200000,Salaried,Port Phillipland,17,2000.0,6,5,0.37,100000.0,0.82,0.0,Personal,37224.0,0.0,0.0,0.0,0.0,61571,12596,18444,24947,117558,1,1,0
77,28,Female,800000,Salaried,New Amanda,8,17588.08,4,10,0.46,200000.0,0.75,0.0,Personal,16146.0,0.0,86893.0,100000.0,1.0,46376,36678,13969,16215,113238,1,1,1
78,40,Male,500000,Self-Employed,Port Alexismouth,16,121928.94,13,3,0.44,50000.0,0.12,0.0,0,0.0,0.0,67899.0,50000.0,0.0,32084,18041,21297,34113,105535,1,0,1
79,45,Male,800000,Salaried,Davischester,18,27138.9,14,12,0.69,300000.0,0.94,0.0,Auto,21501.0,0.0,237371.0,100000.0,1.0,58941,39795,18506,36648,153890,1,1,1
80,38,Male,500000,Self-Employed,South Alex,3,103264.1,2,9,0.97,200000.0,0.7,0.0,Home,30712.0,0.0,0.0,0.0,0.0,54087,29298,15133,21944,120462,1,1,0
81,36,Male,1800000,Salaried,Garciafurt,4,2000.0,7,18,0.28,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46232,27301,15192,29596,118321,0,0,0
82,53,Female,200000,Salaried,Mariaberg,14,123820.65,14,18,0.75,0.0,0.0,0.0,0,0.0,0.0,196656.0,200000.0,1.0,44903,29965,16898,30421,122187,0,0,1
83,41,Male,350000,Student,New Philip,8,2000.0,4,13,0.27,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,47408,33798,17962,22888,122056,0,0,0
84,27,Female,800000,Self-Employed,Jasonfurt,1,138707.47,11,2,0.87,100000.0,0.34,0.0,0,0.0,0.0,0.0,0.0,0.0,58023,46142,16244,14873,135282,1,0,0
85,32,Male,500000,Retired,Teresaside,14,204426.72,3,12,0.74,100000.0,0.42,0.0,0,0.0,0.0,0.0,0.0,0.0,36611,45806,14104,24088,120609,1,0,0
86,50,Male,1800000,Retired,Lake Josephbury,13,32821.76,7,8,0.58,0.0,0.0,0.0,Personal,19982.0,0.0,0.0,0.0,0.0,49670,41258,14300,20645,125873,0,1,0
87,28,Female,500000,Self-Employed,Christopherville,2,30937.75,5,10,0.6,0.0,0.0,0.0,Personal,15306.0,1.0,0.0,0.0,0.0,48268,28932,16120,22300,115620,0,1,0
88,41,Male,500000,Salaried,North Daniel,15,212251.17,3,10,0.53,50000.0,0.21,0.0,0,0.0,0.0,105983.0,0.0,0.0,51349,42460,11734,26222,131765,1,0,1
89,53,Female,350000,Student,Hodgesbury,16,50506.28,5,8,0.86,200000.0,0.86,0.0,0,0.0,0.0,0.0,0.0,0.0,35331,33085,15845,22998,107259,1,0,0
90,39,Female,500000,Retired,Beardmouth,17,2000.0,11,12,0.71,0.0,0.0,0.0,0,0.0,0.0,45316.0,100000.0,0.0,58173,44723,23425,27044,153365,0,0,1
91,37,Female,1800000,Salaried,Lake Johnmouth,14,53404.19,5,14,0.82,50000.0,0.78,0.0,0,0.0,0.0,203010.0,0.0,1.0,58890,44293,16845,33845,153873,1,0,1
92,26,Male,350000,Salaried,Doughertystad,9,62685.49,8,15,0.85,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,34028,56551,14676,24926,130181,0,0,0
93,57,Female,1200000,Student,East Thomasmouth,17,40544.7,1,18,0.91,50000.0,0.27,0.0,Personal,3043.0,0.0,0.0,0.0,0.0,51195,53970,18764,28356,152285,1,1,0
94,51,Male,1800000,Self-Employed,Jasonstad,1,82953.43,3,1,0.28,200000.0,0.23,0.0,Home,22841.0,0.0,0.0,0.0,0.0,65772,37799,12759,31110,147440,1,1,0
95,41,Male,350000,Self-Employed,Huffstad,1,71380.43,12,13,0.82,50000.0,0.22,0.0,0,0.0,0.0,186389.0,50000.0,1.0,41839,58787,10542,26407,137575,1,0,1
96,23,Female,350000,Self-Employed,Lake Theresa,10,70095.17,3,6,0.35,0.0,0.0,0.0,Personal,35513.0,0.0,267884.0,50000.0,1.0,51310,29984,18564,24725,124583,0,1,1
97,51,Female,800000,Self-Employed,Paulafurt,3,2000.0,7,4,0.41,0.0,0.0,0.0,Home,27746.0,0.0,115888.0,0.0,0.0,43393,29132,18731,21607,112863,0,1,1
98,60,Female,200000,Retired,Lake Tonyaborough,18,148680.76,14,15,0.34,200000.0,0.34,1.0,Personal,36007.0,0.0,286418.0,100000.0,0.0,56308,30088,17965,28502,132863,1,1,1
99,52,Male,800000,Salaried,Kennethville,2,2000.0,1,2,0.3,200000.0,0.3,0.0,Personal,20196.0,0.0,0.0,0.0,0.0,40470,38442,19682,29068,127662,1,1,0
100,47,Female,350000,Salaried,Woodsmouth,17,65883.57,1,2,0.75,300000.0,0.73,1.0,0,0.0,0.0,0.0,0.0,0.0,67618,43417,16463,21594,149092,1,0,0
101,60,Male,800000,Salaried,Angelland,11,49244.67,2,15,0.63,300000.0,0.39,0.0,0,0.0,0.0,283556.0,50000.0,1.0,43331,33147,17108,32285,125871,1,0,1
102,59,Male,350000,Self-Employed,Port Michael,3,120992.74,10,17,0.82,300000.0,0.54,0.0,0,0.0,0.0,0.0,0.0,0.0,41525,29373,13620,18156,102674,1,0,0
103,45,Male,500000,Retired,Willisside,7,109676.11,4,16,0.62,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,61048,31092,15844,19692,127676,0,0,0
104,56,Female,800000,Retired,West Josephland,1,98033.93,7,6,0.24,0.0,0.0,0.0,0,0.0,0.0,104301.0,0.0,0.0,32473,23737,19109,15648,90967,0,0,1
105,28,Male,800000,Retired,Millermouth,16,205923.94,6,11,0.46,300000.0,0.38,0.0,0,0.0,0.0,0.0,0.0,0.0,39320,43248,19471,14008,116047,1,0,0
106,34,Male,1200000,Self-Employed,Port Sheilafort,15,2000.0,3,10,0.35,300000.0,0.73,0.0,Home,5227.0,0.0,0.0,0.0,0.0,44562,39018,14002,20368,117950,1,1,0
107,48,Female,500000,Salaried,South Lindsey,19,203468.67,11,12,0.51,300000.0,0.7,0.0,Auto,15817.0,0.0,98765.0,200000.0,0.0,31607,23311,18415,29126,102459,1,1,1
108,45,Female,350000,Student,Beltranchester,17,2000.0,8,11,0.84,300000.0,0.81,0.0,Personal,34157.0,0.0,156595.0,0.0,1.0,47660,30395,20302,18179,116536,1,1,1
109,62,Female,800000,Student,North Thomas,11,3986.2,10,4,0.79,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,29972,30845,19296,33833,113946,0,0,0
110,57,Female,500000,Retired,Lake Rebeccaton,12,106320.08,5,18,0.6,0.0,0.0,0.0,0,0.0,0.0,293546.0,100000.0,0.0,47157,19242,13958,25448,105805,0,0,1
111,64,Male,500000,Self-Employed,South Teresa,4,21776.96,3,2,0.78,0.0,0.0,0.0,Personal,9746.0,0.0,190311.0,50000.0,1.0,43031,47955,15522,23238,129746,0,1,1
112,26,Female,200000,Self-Employed,North Natalie,15,183653.12,12,19,0.34,0.0,0.0,0.0,Personal,37318.0,0.0,0.0,0.0,0.0,59883,37186,19569,20583,137221,0,1,0
113,55,Male,500000,Salaried,Lake Kristenfurt,16,2000.0,5,11,0.99,50000.0,0.1,1.0,Home,30492.0,0.0,265524.0,100000.0,0.0,60021,44568,12438,25345,142372,1,1,1
114,33,Female,1800000,Salaried,South Pattyhaven,10,95628.3,4,13,0.41,0.0,0.0,0.0,Auto,17036.0,1.0,73968.0,100000.0,1.0,56431,33639,11652,26863,128585,0,1,1
115,50,Male,200000,Retired,Kingfurt,19,241079.38,6,5,0.58,300000.0,0.58,0.0,Home,31152.0,0.0,106381.0,50000.0,1.0,37833,38115,21094,32097,129139,1,1,1
116,48,Male,800000,Salaried,Port Robert,5,128430.17,4,5,0.45,200000.0,0.88,0.0,Auto,32319.0,0.0,0.0,0.0,0.0,54739,38866,13913,26583,134101,1,1,0
117,46,Male,1800000,Self-Employed,Floresside,9,172143.28,11,10,0.9,0.0,0.0,0.0,Auto,14889.0,0.0,104386.0,50000.0,1.0,32197,48603,17838,33461,132099,0,1,1
118,32,Male,500000,Salaried,East Mariechester,1,135843.42,13,10,0.52,0.0,0.0,0.0,Personal,36281.0,0.0,26158.0,50000.0,1.0,41389,39046,9605,14384,104424,0,1,1
119,54,Male,350000,Retired,Wilsonport,16,83458.04,5,6,0.44,100000.0,0.92,0.0,0,0.0,0.0,200263.0,50000.0,1.0,52436,45454,14813,23150,135853,1,0,1
120,45,Male,800000,Self-Employed,East James,1,48639.54,8,15,0.4,300000.0,0.45,0.0,0,0.0,0.0,0.0,0.0,0.0,67496,30289,14343,30143,142271,1,0,0
121,36,Male,500000,Salaried,Patriciaberg,5,158155.42,8,16,0.28,100000.0,0.68,0.0,Home,4471.0,1.0,0.0,0.0,0.0,58845,58767,22634,25352,165598,1,1,0
122,42,Female,800000,Student,Davidborough,3,88259.72,3,3,0.77,0.0,0.0,0.0,Home,10444.0,0.0,162936.0,50000.0,1.0,51454,40687,16798,31565,140504,0,1,1
123,32,Female,500000,Self-Employed,Clinetown,19,2000.0,11,19,0.3,200000.0,0.9,0.0,Home,18729.0,0.0,0.0,0.0,0.0,52547,24503,13516,26572,117138,1,1,0
124,57,Female,200000,Self-Employed,North Joshuachester,14,2000.0,1,9,0.95,200000.0,0.66,0.0,Personal,39836.0,0.0,142185.0,200000.0,1.0,33735,40054,14269,19093,107151,1,1,1
125,48,Female,200000,Retired,Port Mackenzieshire,17,72632.88,13,1,0.85,0.0,0.0,0.0,Home,15744.0,1.0,0.0,0.0,0.0,44470,39001,15959,28908,128338,0,1,0
126,50,Male,1200000,Student,Jaredberg,5,85747.8,2,8,0.39,100000.0,0.89,0.0,0,0.0,0.0,34552.0,100000.0,1.0,46488,41053,12493,28003,128037,1,0,1
127,32,Female,200000,Student,Samuelmouth,16,120120.6,1,8,0.36,100000.0,0.82,0.0,Home,5529.0,0.0,0.0,0.0,0.0,56673,22833,15925,17659,113090,1,1,0
128,41,Male,500000,Salaried,East Miranda,1,95603.64,11,15,0.21,200000.0,0.78,0.0,0,0.0,0.0,0.0,0.0,0.0,57878,30724,20227,20791,129620,1,0,0
129,50,Female,500000,Salaried,Fowlerview,10,53618.0,13,10,0.22,50000.0,0.34,0.0,0,0.0,0.0,0.0,0.0,0.0,53123,24670,16292,24866,118951,1,0,0
130,25,Male,1200000,Self-Employed,South Sherryhaven,10,44274.61,6,17,0.76,0.0,0.0,0.0,Personal,38349.0,0.0,107219.0,50000.0,0.0,54252,37834,12897,31161,136144,0,1,1
131,39,Female,500000,Self-Employed,Michaelmouth,1,61447.67,6,16,0.81,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,44121,31696,13736,15302,104855,0,0,0
132,25,Female,800000,Salaried,Marthaburgh,16,53835.4,13,16,0.25,300000.0,0.89,0.0,0,0.0,0.0,0.0,0.0,0.0,31976,30458,15673,25527,103634,1,0,0
133,44,Male,1200000,Student,Jenniferville,2,57154.2,2,5,0.5,300000.0,0.53,0.0,Personal,18168.0,0.0,0.0,0.0,0.0,58386,27024,16488,10000,111898,1,1,0
134,48,Female,500000,Self-Employed,New Edwardstad,12,3832.08,5,14,0.55,0.0,0.0,0.0,0,0.0,0.0,11724.0,100000.0,0.0,62937,18681,15807,25559,122984,0,0,1
135,55,Female,500000,Student,South Joseph,1,77123.67,7,10,0.85,100000.0,0.93,0.0,Home,6747.0,0.0,0.0,0.0,0.0,58479,41345,19256,27840,146920,1,1,0
136,63,Male,1200000,Student,Johnborough,3,119655.16,7,16,0.21,50000.0,0.45,0.0,0,0.0,0.0,0.0,0.0,0.0,58942,48637,14238,28257,150074,1,0,0
137,21,Male,1800000,Self-Employed,Christopherbury,10,2000.0,4,16,0.75,50000.0,0.49,0.0,0,0.0,0.0,0.0,0.0,0.0,66819,37675,17906,28246,150646,1,0,0
138,63,Female,350000,Salaried,East Brittney,13,139600.07,12,10,0.94,100000.0,0.14,0.0,0,0.0,0.0,282730.0,200000.0,0.0,34896,27154,14874,12635,89559,1,0,1
139,32,Male,200000,Self-Employed,Lake Brendamouth,2,52327.72,13,3,0.47,0.0,0.0,0.0,0,0.0,0.0,289614.0,200000.0,1.0,44292,51583,17120,15208,128203,0,0,1
140,55,Female,350000,Student,South Williamton,8,104996.05,10,3,0.67,0.0,0.0,0.0,0,0.0,0.0,140194.0,100000.0,0.0,41445,51013,19226,23430,135114,0,0,1
141,49,Male,800000,Student,West Randy,2,96807.44,13,5,0.28,0.0,0.0,0.0,Personal,20495.0,0.0,0.0,0.0,0.0,50740,37921,17299,21543,127503,0,1,0
142,61,Male,500000,Student,East Kimberlyhaven,18,2000.0,6,18,0.2,0.0,0.0,0.0,0,0.0,0.0,155057.0,0.0,1.0,35560,45537,13626,29430,124153,0,0,1
143,31,Female,1200000,Student,Smithmouth,4,151101.18,2,13,0.56,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,49805,28731,17182,26732,122450,0,0,0
