customer_id,age,gender,income,occupation,city,tenure_years
249,42,Female,500000,Self-Employed,East Amanda,8
250,60,Female,500000,Self-Employed,New Jeremy,19
251,62,Male,350000,Student,East Monica,6
252,46,Female,500000,Student,Deleonhaven,13
253,26,Male,500000,Retired,South Andreatown,1
254,42,Female,350000,Student,Lake Nicoletown,6
255,24,Female,1200000,Student,North Marymouth,9
256,23,Female,500000,Student,Laurafurt,8
257,57,Male,1800000,Retired,Port Rick,6
258,22,Male,500000,Salaried,Dianaland,11
259,24,Female,200000,Self-Employed,East Holly,17
260,50,Male,350000,Salaried,Rileyborough,19
261,22,Male,500000,Self-Employed,Shawntown,8
262,46,Male,350000,Salaried,Aaronmouth,12
263,25,Male,350000,Self-Employed,Keithmouth,4
264,39,Male,350000,Retired,New Mark,17
265,32,Male,200000,Self-Employed,South Mary,14
266,58,Female,500000,Student,West Robertview,11
267,56,Female,350000,Self-Employed,South Thomasburgh,3
268,53,Male,350000,Self-Employed,West Peterville,10
269,25,Female,200000,Salaried,Lake Valeriehaven,12
270,22,Male,350000,Student,South Jessicatown,2
271,40,Female,350000,Retired,Terriport,5
272,29,Male,800000,Salaried,East Jennifer,11
273,35,Male,500000,Salaried,Williamberg,3
274,50,Female,200000,Salaried,Kellyshire,5
275,64,Male,500000,Student,Port Robert,11
276,29,Female,350000,Student,South Nataliebury,3
277,55,Male,1200000,Student,South Anthony,8
278,31,Male,800000,Retired,East Samantha,14
279,50,Female,800000,Salaried,New Andreashire,5
280,25,Female,350000,Student,Francesville,14
281,46,Female,1200000,Self-Employed,Port Peterside,13
282,62,Female,350000,Self-Employed,North Gloria,8
283,28,Female,500000,Retired,Bondview,14
284,52,Female,500000,Retired,New Alec,6
285,53,Female,800000,Student,Lake Kristi,15
286,53,Male,350000,Salaried,Tylerport,1
287,22,Female,500000,Retired,Martinmouth,8
288,60,Male,500000,Retired,Katherinehaven,19
289,26,Female,1200000,Student,Lisaville,7
290,28,Male,800000,Retired,Kaylaburgh,15
291,49,Female,500000,Self-Employed,Stevenfort,7
292,47,Female,800000,Self-Employed,West Michaelmouth,6
293,53,Female,800000,Student,South Melissaville,1
294,24,Female,500000,Student,East Lucas,10
295,25,Female,1200000,Salaried,Curtisberg,1
296,58,Male,500000,Salaried,Sotoland,15
297,56,Male,500000,Retired,Smithview,15
298,49,Female,500000,Self-Employed,West Megan,15
299,24,Female,800000,Retired,New Stephanie,2
300,47,Female,500000,Salaried,Theresashire,19
301,56,Male,500000,Student,Kingmouth,11
302,47,Male,350000,Retired,Brianton,11
303,30,Male,350000,Student,Owensport,6
304,28,Female,500000,Retired,South Mirandabury,14
305,63,Female,350000,Retired,Wareton,13
306,60,Female,500000,Student,Kathybury,1
307,60,Female,1200000,Student,West Nicholasview,12
308,64,Female,500000,Student,Danielleton,4
309,25,Male,1200000,Salaried,New Michaelbury,8
310,62,Male,800000,Student,Penatown,9
311,49,Male,200000,Self-Employed,Basshaven,9
312,42,Male,1200000,Self-Employed,Chandlerborough,1
313,57,Female,1800000,Student,West Johnfort,14
314,56,Female,200000,Salaried,New Cody,1
315,60,Male,500000,Student,Port Robert,15
316,29,Male,800000,Student,Port Julie,10
317,46,Male,350000,Student,North Franciscofurt,11
318,58,Male,350000,Self-Employed,Wolfshire,18
319,47,Female,800000,Salaried,Ryanton,17
320,63,Male,200000,Student,New Paul,19
321,44,Male,500000,Retired,Burnsmouth,6
322,44,Male,350000,Salaried,Andersonburgh,11
323,42,Female,350000,Retired,Boothview,18
324,41,Female,500000,Retired,Davidland,17
325,40,Female,500000,Self-Employed,South Taraborough,8
326,27,Male,500000,Student,Lake Jennifer,13
327,50,Female,800000,Salaried,West Jerryton,19
328,52,Male,500000,Retired,South Jerry,17
329,49,Female,500000,Salaried,Ericchester,8
330,39,Male,200000,Self-Employed,East Jefferyberg,14
331,22,Male,500000,Student,Andrewhaven,17
332,50,Male,500000,Self-Employed,Davidstad,4
333,21,Male,350000,Retired,Brewerburgh,7
334,23,Male,350000,Retired,North Andrew,10
335,39,Female,500000,Retired,Wilcoxburgh,1
336,43,Female,1800000,Retired,Robertbury,18
337,27,Female,800000,Salaried,West Sherriborough,1
338,23,Male,350000,Self-Employed,West Normachester,8
339,57,Male,350000,Student,Port Bryanton,1
340,48,Male,350000,Self-Employed,Garrettfurt,2
341,55,Male,350000,Self-Employed,East Debbiemouth,14
342,52,Male,1200000,Self-Employed,Jamesport,11
343,36,Male,350000,Retired,Chambersshire,5
344,41,Female,500000,Retired,Lake James,16
345,38,Female,200000,Salaried,Vasqueztown,7
346,53,Male,350000,Student,North Linda,19
347,39,Female,500000,Retired,Hernandezchester,18
348,22,Male,1200000,Self-Employed,Port Samantha,5
349,40,Female,350000,Self-Employed,South Seanmouth,2
350,23,Female,500000,Salaried,South Michelle,12
351,40,Male,500000,Self-Employed,Hooverport,6
352,50,Female,350000,Self-Employed,North Dustinborough,12
353,55,Male,1200000,Salaried,Lake Elizabethmouth,12
354,44,Male,200000,Student,North Monica,14
355,43,Female,800000,Retired,Lewisstad,17
356,37,Male,350000,Retired,New Eric,8
357,22,Female,500000,Retired,New Courtneymouth,7
358,29,Female,200000,Retired,Johnsonview,11
359,24,Female,200000,Salaried,Martinshire,13
360,54,Male,350000,Retired,Daniellebury,11
361,26,Female,1200000,Student,Lake Anthonyburgh,10
362,56,Male,500000,Salaried,Jenniferfurt,2
363,37,Male,500000,Salaried,Clementshaven,6
364,32,Female,350000,Salaried,West John,10
365,42,Male,200000,Retired,Fowlerland,6
366,47,Female,500000,Student,Port Nancy,12
367,27,Male,500000,Retired,Macdonaldfort,17
368,46,Female,500000,Salaried,West Christine,14
369,22,Female,350000,Student,South Jamesburgh,11
370,21,Female,200000,Student,Lake Michelle,4
371,46,Female,200000,Salaried,West Carolyn,11
372,60,Male,500000,Student,Leechester,4
373,59,Female,500000,Retired,East Susanville,2
374,44,Female,1200000,Retired,Carpenterberg,5
375,53,Male,350000,Retired,Coletown,15
376,40,Male,350000,Student,Hudsonton,11
377,37,Female,500000,Student,New Deborah,13
378,63,Male,350000,Retired,Rileyborough,2
379,29,Male,200000,Retired,Russellborough,17
380,21,Female,500000,Salaried,Alexanderborough,11
381,60,Male,500000,Student,Port Tamara,7
382,55,Female,800000,Retired,Navarroside,5
383,64,Male,800000,Self-Employed,West Sharon,6
384,54,Female,200000,Self-Employed,East David,5
385,64,Female,800000,Retired,Cervantesfort,17
386,37,Female,1800000,Salaried,Lindamouth,17
387,32,Male,500000,Self-Employed,Dawnfurt,19
388,28,Male,500000,Student,Port Christopher,17
389,43,Male,800000,Retired,Ritatown,16
390,26,Male,1800000,Self-Employed,Charlesfurt,18
391,45,Male,500000,Retired,Teresabury,9
392,46,Male,200000,Self-Employed,West Michaelchester,10
393,36,Female,1200000,Student,West Adammouth,7
394,34,Female,200000,Retired,Rachelbury,7
395,29,Female,350000,Retired,Grayland,8
396,43,Male,800000,Retired,Brownton,7
397,55,Male,350000,Retired,Colemanfort,10
398,59,Male,200000,Self-Employed,Port Bobbyville,3
399,64,Male,200000,Student,West Jenniferberg,2
400,23,Female,800000,Student,South Susanland,8
401,46,Female,800000,Salaried,Mayside,12
402,59,Female,350000,Student,New Jeremiah,17
403,24,Female,800000,Self-Employed,East Jay,13
404,38,Female,500000,Retired,East Katie,13
405,62,Female,1200000,Student,Timothyhaven,2
406,55,Female,1200000,Retired,Port Kristin,13
407,33,Female,350000,Self-Employed,Ramirezberg,3
408,59,Male,200000,Retired,South Michael,17
409,49,Male,200000,Retired,East Emilyburgh,12
410,36,Male,1200000,Student,Lake Kathryn,15
411,30,Female,200000,Retired,Lake Jamesbury,7
412,40,Female,800000,Self-Employed,Duffytown,17
413,23,Female,500000,Salaried,Lake William,18
414,24,Male,800000,Student,West Timothy,5
415,45,Male,350000,Retired,North Leslie,14
416,35,Male,500000,Retired,Taylorchester,17
417,44,Male,200000,Self-Employed,New Emilychester,5
418,57,Female,200000,Self-Employed,Port Bethchester,6
419,59,Male,1200000,Retired,Lake Terry,14
420,44,Female,500000,Student,West Robert,13
421,54,Female,350000,Salaried,New Sandra,4
422,28,Female,1200000,Retired,South William,19
423,30,Female,200000,Retired,Smithberg,9
424,23,Male,800000,Salaried,Munozmouth,5
425,25,Male,500000,Student,East Kevin,17
426,29,Male,1200000,Salaried,Ashleyside,17
427,62,Female,500000,Salaried,Jesseport,18
428,37,Male,350000,Retired,North Heidifurt,3
429,58,Male,500000,Student,Frazierport,15
430,45,Male,500000,Salaried,Hudsonstad,14
431,57,Female,200000,Salaried,Munozbury,9
432,23,Female,350000,Student,Ramirezbury,9
433,23,Female,1800000,Retired,Garciastad,12
434,62,Male,800000,Self-Employed,Nolanhaven,8
435,45,Female,500000,Self-Employed,East Andrea,2
436,44,Male,350000,Self-Employed,Wrightshire,6
437,28,Male,800000,Retired,Williamfort,16
438,46,Male,500000,Retired,Port Coryville,5
439,33,Male,1200000,Self-Employed,Bradberg,13
440,37,Female,200000,Student,Keithton,13
441,52,Female,500000,Student,New Lindseyberg,19
442,23,Male,350000,Retired,Johnnybury,2
443,60,Female,500000,Self-Employed,Christinaside,13
444,53,Male,1200000,Retired,Catherineport,19
445,36,Female,800000,Student,Morrischester,1
446,61,Female,350000,Student,South Phillip,13
447,45,Female,1200000,Student,South Heathershire,4
448,47,Male,800000,Retired,South Bethhaven,7
449,25,Female,1200000,Salaried,Stonechester,19
450,51,Male,800000,Retired,Andersontown,10
451,52,Female,350000,Student,Whiteberg,7
452,51,Female,200000,Salaried,Lake Brittanychester,2
453,34,Female,800000,Student,East Angela,12
454,59,Male,350000,Salaried,Melindamouth,13
455,47,Female,1800000,Student,Fisherbury,17
456,60,Male,350000,Student,Dickersonton,13
457,55,Male,200000,Self-Employed,West Jeremyhaven,19
458,50,Female,200000,Self-Employed,Valeriestad,9
459,52,Male,800000,Salaried,North Mary,15
460,50,Female,800000,Retired,Joneshaven,4
461,40,Male,800000,Student,Port Adrianburgh,18
462,24,Male,350000,Salaried,New Tonya,17
463,32,Female,200000,Student,New Bryan,10
464,21,Female,200000,Self-Employed,East Carrie,18
465,34,Male,1800000,Self-Employed,Jonathanville,12
466,56,Female,500000,Student,Duncanville,12
467,27,Male,200000,Student,Port Alechaven,1
468,26,Female,350000,Student,Port Emily,19
469,31,Female,800000,Salaried,West Jacquelineberg,2
470,54,Female,1800000,Salaried,Lake Keithville,17
471,55,Male,500000,Self-Employed,Lake Jameshaven,7
472,35,Female,800000,Student,West Karen,11
473,52,Male,200000,Retired,West Mckenzie,14
474,40,Male,800000,Student,Gomezview,3
475,37,Male,1800000,Retired,Murphybury,15
476,36,Female,1200000,Student,East Andrew,6
477,39,Female,350000,Student,Stephenside,3
478,21,Male,350000,Self-Employed,Woodstown,6
479,35,Female,800000,Salaried,North Jason,3
480,45,Female,800000,Self-Employed,Johnbury,18
481,35,Male,500000,Retired,Yangberg,8
482,45,Female,1200000,Retired,North Brent,8
483,35,Male,500000,Self-Employed,Ashleymouth,18
484,27,Male,500000,Salaried,South Lisaview,12
485,44,Female,1200000,Retired,Woodsport,3
486,40,Male,800000,Salaried,West Patricia,14
487,27,Male,200000,Self-Employed,South Kelly,12
488,40,Female,500000,Retired,West Tarahaven,6
489,42,Female,500000,Retired,Patrickhaven,2
490,44,Male,500000,Retired,Matthewhaven,13
491,37,Male,200000,Retired,New Patricia,18
492,50,Female,350000,Student,Henryshire,14
493,51,Male,800000,Student,East Briannamouth,11
494,45,Male,1200000,Retired,Martinborough,6
495,61,Female,200000,Self-Employed,North Juanfurt,19
496,44,Female,200000,Salaried,West Amandaborough,12
497,52,Female,200000,Student,Ellisonfort,1
498,30,Male,800000,Retired,Johnshire,18
499,53,Female,500000,Self-Employed,Lake Michaelberg,1
500,61,Male,350000,Retired,Kaufmanshire,1
501,33,Male,200000,Self-Employed,South Paultown,7
502,22,Male,1800000,Salaried,North Vickie,14
503,35,Female,350000,Self-Employed,Angelaview,12
504,60,Male,500000,Self-Employed,Jacquelinechester,3
505,26,Male,500000,Self-Employed,Jamesmouth,9
506,59,Male,500000,Self-Employed,West Williamfurt,9
507,32,Female,1200000,Self-Employed,Michaelbury,18
508,48,Male,800000,Student,Cherylview,15
509,27,Male,800000,Self-Employed,New Scott,16
510,24,Female,500000,Self-Employed,New Lindseymouth,3
511,61,Male,350000,Salaried,North Jasonshire,14
512,31,Male,800000,Salaried,New Sean,12
513,43,Female,800000,Self-Employed,Laurastad,13
514,39,Female,1800000,Salaried,West Davidhaven,4
515,28,Male,1200000,Student,Hicksfort,19
516,64,Male,500000,Self-Employed,Stevenborough,18
517,39,Female,350000,Salaried,Parrishton,9
518,23,Male,200000,Retired,North Catherine,19
519,55,Female,350000,Student,Roseburgh,15
520,53,Male,800000,Retired,Harrisville,17
521,50,Male,1800000,Salaried,Port Michelleside,5
522,24,Female,800000,Retired,Mooreville,18
523,52,Male,500000,Salaried,Harrisbury,2
524,56,Female,1200000,Retired,Gibsonville,2
525,56,Female,500000,Salaried,Levifurt,10
526,32,Female,350000,Retired,South Stephen,18
527,60,Male,800000,Salaried,Gonzalezstad,1
528,55,Female,800000,Self-Employed,Joshuafurt,4
529,50,Male,350000,Self-Employed,Kimville,12
530,34,Female,1800000,Student,Crystalside,5
531,25,Female,200000,Student,Wallacestad,9
532,34,Female,500000,Retired,Kimberlyton,2
533,59,Male,350000,Salaried,Hamiltonborough,2
534,55,Male,800000,Retired,Port Ronnie,1
535,60,Female,500000,Self-Employed,East Williamtown,4
536,43,Female,500000,Student,North Jonathanchester,11
537,30,Female,200000,Retired,Williamston,14
538,36,Female,500000,Salaried,East Patriciafurt,10
539,32,Female,800000,Retired,Port Peter,1
540,25,Female,350000,Student,Cainchester,11
541,32,Female,800000,Self-Employed,Port Debra,11
542,57,Female,350000,Salaried,North Jason,12
543,57,Male,800000,Salaried,Nathanport,12
544,48,Male,1200000,Retired,Andreaview,6
545,64,Male,500000,Student,Mcgrathport,18
546,34,Male,200000,Salaried,Mcgrathshire,5
547,40,Female,200000,Salaried,New Misty,1
548,55,Female,500000,Student,Victoriamouth,5
549,53,Female,500000,Salaried,West Corey,14
550,32,Female,200000,Student,Reynoldsbury,18
551,44,Female,800000,Salaried,Owensstad,2
552,45,Male,500000,Self-Employed,South Amy,7
553,51,Female,350000,Self-Employed,South Carol,11
554,43,Male,800000,Student,North Meganton,13
555,36,Female,1200000,Salaried,Port Derekton,8
556,41,Female,200000,Self-Employed,Samuelhaven,8
557,49,Female,500000,Salaried,South Heather,5
558,42,Female,350000,Salaried,Port Josemouth,1
559,46,Male,350000,Student,West Nicholaston,18
560,38,Female,500000,Student,Elizabethshire,8
561,60,Female,800000,Salaried,East Lauraside,8
562,45,Male,800000,Self-Employed,Danielview,1
563,21,Female,350000,Salaried,Leestad,16
564,34,Male,350000,Salaried,Brandonbury,5
565,61,Male,200000,Self-Employed,Leahside,2
566,26,Female,350000,Retired,West Carol,1
567,61,Female,1800000,Student,East Donna,13
568,29,Male,200000,Student,Hendersonfort,9
569,31,Female,1200000,Student,South Briannastad,6
570,24,Male,800000,Salaried,New Sarahshire,6
571,54,Male,800000,Self-Employed,Manningstad,9
572,43,Male,500000,Salaried,North Joshua,11
573,21,Female,200000,Retired,New Brendaborough,7
574,45,Female,350000,Retired,Jenniferhaven,1
575,32,Female,500000,Retired,Port Nathanbury,15
576,41,Female,350000,Self-Employed,Davistown,1
577,52,Male,350000,Student,East Sarahside,12
578,58,Female,200000,Salaried,Port Josephbury,3
579,28,Female,800000,Retired,North Kimborough,10
580,22,Female,500000,Salaried,Herringshire,3
581,41,Male,1200000,Retired,East Austinburgh,16
582,22,Male,500000,Salaried,Melindafurt,12
583,25,Male,350000,Student,North Rachelview,5
584,35,Male,500000,Self-Employed,Amandatown,15
585,63,Female,800000,Student,New Mary,6
586,64,Female,1800000,Salaried,Smithbury,13
